mlp_type: sde
lam_l2a: 0.0010
dev_types: [1, 1, 2]
dev_lams: [0.1, 0.1, 2.0]
4.6587 4.6498
2.2507 2.2532
1.2619 1.2549
0.9088 0.9078
0.7093 0.7199
0.6140 0.6051
0.5471 0.5408
0.4968 0.4990
0.4572 0.4467
0.4280 0.4162
0.3960 0.3933
0.3710 0.3674
0.3472 0.3463
0.3294 0.3227
0.3129 0.3099
0.3028 0.2956
0.2860 0.2876
0.2730 0.2762
0.2645 0.2601
0.2551 0.2595
0.2472 0.2429
0.2443 0.2374
0.2376 0.2317
0.2297 0.2273
0.2255 0.2220
0.2199 0.2184
0.2204 0.2184
0.2137 0.2145
0.2108 0.2113
0.2089 0.2074
0.2081 0.2026
0.2047 0.2042
