ensemble description:   **TODO: Write code for this.**
0.00 42.20 42.20 3.4512 2.7371 2.7371
0.00 8.51 8.51 1.5743 0.6136 0.6136
0.00 4.50 4.50 0.7825 0.3171 0.3171
0.00 3.67 3.67 0.5821 0.2645 0.2645
0.00 3.13 3.13 0.5085 0.2184 0.2184
0.00 2.70 2.70 0.4375 0.1957 0.1957
0.00 2.67 2.67 0.3938 0.1981 0.1981
0.00 2.35 2.35 0.3731 0.1741 0.1741
0.00 2.44 2.44 0.3492 0.1691 0.1691
0.00 2.01 2.01 0.3234 0.1567 0.1567
0.00 1.94 1.94 0.3139 0.1538 0.1538
0.00 1.87 1.87 0.2967 0.1409 0.1409
0.00 2.06 2.06 0.2939 0.1500 0.1500
0.00 1.98 1.98 0.2768 0.1537 0.1537
0.00 1.83 1.83 0.2792 0.1332 0.1332
0.00 1.73 1.73 0.2719 0.1295 0.1295
0.00 1.68 1.68 0.2553 0.1279 0.1279
0.00 1.83 1.83 0.2584 0.1390 0.1390
0.00 1.69 1.69 0.2409 0.1300 0.1300
0.00 1.78 1.78 0.2511 0.1340 0.1340
0.00 1.65 1.65 0.2331 0.1276 0.1276
0.00 1.65 1.65 0.2393 0.1200 0.1200
0.00 1.62 1.62 0.2247 0.1289 0.1289
0.00 1.70 1.70 0.2272 0.1311 0.1311
0.00 1.72 1.72 0.2302 0.1355 0.1355
0.00 1.68 1.68 0.2169 0.1301 0.1301
0.00 1.57 1.57 0.2240 0.1269 0.1269
0.00 1.73 1.73 0.2147 0.1250 0.1250
0.00 1.62 1.62 0.2085 0.1241 0.1241
0.00 1.53 1.53 0.2038 0.1140 0.1140
0.00 1.57 1.57 0.2030 0.1198 0.1198
0.00 1.44 1.44 0.2068 0.1104 0.1104
0.00 1.50 1.50 0.2017 0.1157 0.1157
0.00 1.59 1.59 0.1971 0.1183 0.1183
0.00 1.47 1.47 0.1911 0.1199 0.1199
0.00 1.56 1.56 0.1953 0.1189 0.1189
0.00 1.51 1.51 0.1949 0.1196 0.1196
0.00 1.54 1.54 0.1929 0.1186 0.1186
0.00 1.56 1.56 0.1871 0.1130 0.1130
0.00 1.45 1.45 0.1881 0.1189 0.1189
0.00 1.46 1.46 0.1896 0.1152 0.1152
0.00 1.44 1.44 0.1782 0.1234 0.1234
0.00 1.57 1.57 0.1823 0.1278 0.1278
0.00 1.42 1.42 0.1836 0.1159 0.1159
0.00 1.48 1.48 0.1801 0.1243 0.1243
0.00 1.54 1.54 0.1828 0.1196 0.1196
0.00 1.39 1.39 0.1771 0.1164 0.1164
0.00 1.49 1.49 0.1683 0.1188 0.1188
0.00 1.46 1.46 0.1639 0.1132 0.1132
0.00 1.42 1.42 0.1700 0.1166 0.1166
0.00 1.39 1.39 0.1666 0.1157 0.1157
